index,product,category,sub_category,brand,sale_price,market_price,type,rating,Stock Quantity,Reorder Level,Supplier Info,Lead Time (Days),Last Restock Date,Units Sold,avg_daily_demand,safety_stock,reorder_level,holding_cost,eoq,status,recommendation
20327,Vitamin C & Hyaluronic Acid Gold Serum,Beauty & Hygiene,Skin Care,Greenberry Organics,909.3,1299,Face Care,,67,,Supplier A,9,15:10.5,9,0.3,0,3,259.8,3,Adequate,Stock adequate. Review in 213 days
15466,Age Miracle Eye Cream,Beauty & Hygiene,Skin Care,Ponds,559.2,699,Eye Care,3.5,45,,Supplier B,12,15:10.5,27,0.9,1,11,139.8,6,Adequate,Stock adequate. Review in 38 days
10110,"Chilli - Guntur, Stemless","Foodgrains, Oil & Masala",Masalas & Spices,bb Royal,207.5,300,Whole Spices,,21,,Supplier A,8,15:10.5,17,0.566666667,0,5,60,8,Adequate,Stock adequate. Review in 28 days
24278,Chyawan Yogue Sugar Free Chyawanprash With Immunity Booster,Beauty & Hygiene,Health & Medicine,SIDDHAYU,325,325,Ayurveda,,56,,Supplier C,13,15:10.5,32,1.066666667,1,15,65,10,Adequate,Stock adequate. Review in 38 days
22732,Pink Salt/Uppu Granules,"Foodgrains, Oil & Masala",Organic Staples,Himalayan Natives,74.25,99,Salts,4.3,92,,Supplier B,10,15:10.5,31,1.033333333,1,11,19.8,18,Adequate,Stock adequate. Review in 78 days
10026,Fresh Moisturising Hand Wash - Peppermint & Green Apple,Beauty & Hygiene,Bath & Hand Wash,Fiama,135,150,Hand Wash & Sanitizers,4.3,10,,Supplier A,3,15:10.5,38,1.266666667,0,4,30,16,Adequate,Stock adequate. Review in 5 days
20647,Attraction Deodorant for Men - Long Lasting Lime & Mandarin Fragrance,Beauty & Hygiene,Men's Grooming,Brut,179.4,299,Men's Deodorants,5,24,,Supplier B,14,15:10.5,39,1.3,1,19,59.8,11,Adequate,Stock adequate. Review in 4 days
23316,Oil Control Face Wash - Sulphate Free,Beauty & Hygiene,Skin Care,Organic Harvest,148.75,175,Face Care,4,63,,Supplier A,4,15:10.5,49,1.633333333,1,7,35,17,Adequate,Stock adequate. Review in 34 days
12647,Power White Anti-Pollution Double Action Face Wash,Beauty & Hygiene,Men's Grooming,Garnier Men,264.1,380,Face & Body,4.3,22,,Supplier C,7,15:10.5,7,0.233333333,0,2,76,4,Adequate,Stock adequate. Review in 86 days
18056,Intense Hydration Body Lotion,Beauty & Hygiene,Skin Care,Kaya Clinic,352,440,Body Care,4.3,52,,Supplier C,12,15:10.5,49,1.633333333,1,21,88,11,Adequate,Stock adequate. Review in 19 days
21452,Pasta - Trivelle,Gourmet & World Food,"Pasta, Soup & Noodles",San Remo,185,185,Pastas & Spaghetti,1,94,,Supplier B,8,15:10.5,7,0.233333333,0,2,37,6,Adequate,Stock adequate. Review in 394 days
25725,Signature Gold Dark Vanilla & Oud Wood Perfume,Beauty & Hygiene,Men's Grooming,Axe,360,450,Men's Deodorants,3.6,85,,Supplier B,4,15:10.5,2,0.066666667,0,0,90,2,Adequate,Stock adequate. Review in 1275 days
14260,Facial Kit - Party Glow,Beauty & Hygiene,Skin Care,BIOTIQUE,187.5,250,Face Care,4.3,78,,Supplier A,9,15:10.5,48,1.6,1,15,50,14,Adequate,Stock adequate. Review in 39 days
22544,Kochi Masala Banana Chips Nendran Chips made in Coconut Oil,Snacks & Branded Foods,Snacks & Namkeen,PostCard,99,99,Namkeen & Savoury Snacks,3.5,16,,Supplier B,13,15:10.5,2,0.066666667,0,1,19.8,4,Adequate,Stock adequate. Review in 225 days
23421,Party Pack,Snacks & Branded Foods,Frozen Veggies & Snacks,Yummiez,265,290,Frozen Veg Snacks,3.1,78,,Supplier C,8,15:10.5,22,0.733333333,0,6,58,9,Adequate,Stock adequate. Review in 98 days
9522,Nuggets - Chicken,Snacks & Branded Foods,Frozen Veggies & Snacks,Yummiez,260,290,Frozen Non-Veg Snacks,4,57,,Supplier C,7,15:10.5,47,1.566666667,1,12,58,13,Adequate,Stock adequate. Review in 29 days
16979,Sandalwood Ultra Facial Sheet Mask,Beauty & Hygiene,Skin Care,Mirabelle,83.85,129,Face Care,4,13,,Supplier C,7,15:10.5,1,0.033333333,0,0,25.8,3,Adequate,Stock adequate. Review in 390 days
16766,"Fittify Hi-Protein Slim Meal Shake, Swiss Chocolate",Gourmet & World Food,Drinks & Beverages,Saffola FITTIFY Gourmet,1290,1290,Health Drinks,2.3,86,,Supplier B,7,15:10.5,23,0.766666667,0,6,258,4,Adequate,Stock adequate. Review in 104 days
12890,Bastion EDP Woody Perfume For Men,Beauty & Hygiene,Fragrances & Deos,Ajmal,1170,1500,Eau De Parfum,4,62,,Supplier A,10,15:10.5,37,1.233333333,1,13,300,5,Adequate,Stock adequate. Review in 40 days
17608,Wheat Flakes With Honey & Almonds,Snacks & Branded Foods,Breakfast Cereals,True Elements,360,400,Flakes,4.3,88,,Supplier C,5,15:10.5,27,0.9,0,5,80,8,Adequate,Stock adequate. Review in 92 days
18329,Plus Expert Intimate Hygiene,Beauty & Hygiene,Feminine Hygiene,Vwash,304,324,Intimate Wash & Care,4.4,25,,Supplier C,5,15:10.5,21,0.7,0,4,64.8,8,Adequate,Stock adequate. Review in 30 days
2525,"Select - Red Chilli Powder/Menasina Pudi, Mild & Bright","Foodgrains, Oil & Masala",Masalas & Spices,Valley Spice,65,65,Powdered Spices,4.3,30,,Supplier B,9,15:10.5,21,0.7,0,7,13,18,Adequate,Stock adequate. Review in 33 days
8099,Organics Laxa Health Tea,Beverages,Tea,18 Herbs,100,100,Leaf & Dust Tea,4.3,68,,Supplier B,8,15:10.5,40,1.333333333,1,11,20,20,Adequate,Stock adequate. Review in 43 days
11179,Buttery Spread - Garlic & Herbs,"Bakery, Cakes & Dairy",Dairy,Amul,45.54,49,Butter & Margarine,4.2,33,,Supplier B,13,15:10.5,35,1.166666667,1,16,9.8,27,Adequate,Stock adequate. Review in 15 days
5323,Premium International Dried Tropical Fruit Medley,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",Happilo,212,265,Dry Fruits & Berries,,89,,Supplier B,14,15:10.5,47,1.566666667,1,23,53,13,Adequate,Stock adequate. Review in 42 days
17774,Cashewnut Butter,Snacks & Branded Foods,"Spreads, Sauces, Ketchup",NUTRIWISH,1950,1950,Choco & Nut Spread,,23,,Supplier A,14,15:10.5,31,1.033333333,1,15,390,4,Adequate,Stock adequate. Review in 8 days
11717,Mascarpone,Gourmet & World Food,Dairy & Cheese,MOOZ,200,200,Cream & Cheese Spreads,3.7,95,,Supplier B,14,15:10.5,28,0.933333333,1,14,40,12,Adequate,Stock adequate. Review in 87 days
1335,Curd,"Bakery, Cakes & Dairy",Dairy,MilkLane,42,42,Curd,4.2,58,,Supplier A,6,15:10.5,37,1.233333333,1,8,8.4,30,Adequate,Stock adequate. Review in 41 days
9180,Merelane 7 Premium Paper Playing Cards,Cleaning & Household,Stationery,Parksons,45,60,Games & Calculators,3,59,,Supplier A,3,15:10.5,10,0.333333333,0,1,12,13,Adequate,Stock adequate. Review in 174 days
9930,Organic Seeds - Cumin,"Foodgrains, Oil & Masala",Organic Staples,Organic Tattva,57,60,Organic Masalas & Spices,4.3,79,,Supplier C,11,15:10.5,9,0.3,0,3,12,12,Adequate,Stock adequate. Review in 253 days
803,Energy Bar Hazelnut Magic 6 pcs + Energy Bar Oat & Apricot 6 pcs,Snacks & Branded Foods,Breakfast Cereals,On The Run,600,600,Granola & Cereal Bars,,51,,Supplier C,11,15:10.5,21,0.7,0,8,120,6,Adequate,Stock adequate. Review in 61 days
3227,Bolts - Orange,Beverages,"Health Drink, Supplement",Glucovita,200,200,"Glucose Powder, Tablets",4.4,45,,Supplier B,4,15:10.5,24,0.8,0,3,40,11,Adequate,Stock adequate. Review in 52 days
2141,Organic & Natural Sensitive Lips Unscented Balm - Paraben Free,Beauty & Hygiene,Skin Care,Mirah Belle,295,295,Lip Care,2,74,,Supplier C,11,15:10.5,49,1.633333333,1,19,59,13,Adequate,Stock adequate. Review in 34 days
4178,Skin Whitening Face Wash,Beauty & Hygiene,Skin Care,Astaberry,71.25,75,Face Care,2,79,,Supplier A,10,15:10.5,40,1.333333333,1,14,15,23,Adequate,Stock adequate. Review in 49 days
9981,1981 Eau De Toilette Pour Homme,Beauty & Hygiene,Fragrances & Deos,Guess,3120,3900,Eau De Toilette,5,10,,Supplier B,8,15:10.5,44,1.466666667,1,12,780,3,Reorder,Place order for 3.0 units. Current stock (10) below reorder level (12)
1647,Breathable Premium Baby Diaper Pants With Wetness Indicator - Medium,Baby Care,Diapers & Wipes,Mee Mee,319.2,399,Diapers,4,60,,Supplier B,10,15:10.5,43,1.433333333,1,15,79.8,10,Adequate,Stock adequate. Review in 31 days
20119,Comb - 9F Ladies Derby Deluxe No 59,Beauty & Hygiene,Hair Care,Ego of Paris,40,40,Tools & Accessories,3.6,46,,Supplier B,12,15:10.5,14,0.466666667,0,6,8,19,Adequate,Stock adequate. Review in 86 days
21466,"Cookies - Free, With Chocolate & Hazelnut",Gourmet & World Food,Chocolates & Biscuits,Bogutti,195,195,"Cookies, Biscotti, Wafer",3.4,44,,Supplier B,7,15:10.5,48,1.6,1,12,39,16,Adequate,Stock adequate. Review in 20 days
3403,Sambar Powder,"Foodgrains, Oil & Masala",Masalas & Spices,Ravi,24,24,Blended Masalas,2,58,,Supplier C,3,15:10.5,10,0.333333333,0,1,4.8,20,Adequate,Stock adequate. Review in 171 days
347,Olive Oil - Pomace,Gourmet & World Food,Oils & Vinegar,Oleiva Gold,3330,3330,"Pure, Pomace Olive Oil",3.5,13,,Supplier B,10,15:10.5,28,0.933333333,0,10,666,3,Adequate,Stock adequate. Review in 3 days
26288,Oil Control Moisturiser,Beauty & Hygiene,Skin Care,Nivea Men,191.04,199,Face & Body,4.3,52,,Supplier A,5,15:10.5,27,0.9,0,5,39.8,12,Adequate,Stock adequate. Review in 52 days
9504,Amla Candy - Masala,Gourmet & World Food,Chocolates & Biscuits,Organicana,75,75,"Marshmallow, Candy, Jelly",4,87,,Supplier B,6,15:10.5,38,1.266666667,1,8,15,23,Adequate,Stock adequate. Review in 62 days
14902,Sandwich Stalker Gherkins,Gourmet & World Food,Tinned & Processed Food,Neo,139.5,155,"Olive, Jalapeno, Gherkin",4.3,31,,Supplier C,12,15:10.5,35,1.166666667,1,15,31,15,Adequate,Stock adequate. Review in 14 days
15948,Tulsi Capsules,Beauty & Hygiene,Health & Medicine,ORGANIC INDIA,175,175,Supplements & Proteins,4.5,83,,Supplier A,8,15:10.5,7,0.233333333,0,2,35,6,Adequate,Stock adequate. Review in 347 days
5634,Rings - Onion,Snacks & Branded Foods,Ready To Cook & Eat,Saravanas,40,40,"Papads, Ready To Fry",3.5,10,,Supplier C,7,15:10.5,42,1.4,1,10,8,32,Reorder,Place order for 32.0 units. Current stock (10) below reorder level (10)
19836,Forbidden For Men Eau De Toilette,Beauty & Hygiene,Fragrances & Deos,Police,2512.5,3350,Eau De Toilette,,20,,Supplier C,3,15:10.5,46,1.533333333,0,5,670,4,Adequate,Stock adequate. Review in 10 days
